Industry_and_company_size;All_companies;Less_than_1ml;ml_1_9_999;ml_10_49_999;ml_50_99_999;ml_100_or_more
All_industries;841131;5844;34635;55768;33957;710928
Manufacturing_industries;456879;2924;14215;27946;20939;390853
Food;8605;176;861;1961;581;5027
Beverage_and_tobacco_products;1397;40;140;84;356;776
Textile,_apparel,_and_leather_products;748;43;157;377;59;112
Wood_products;263;17;82;165;0;0
Paper;1086;13;112;186;185;591
Printing_and_related_support_activities;167;26;61;80;0;0
Petroleum_and_coal_products;1107;10;;178;163;
Chemicals;150790;394;2469;10249;7494;130184
Basic_chemicals;3816;78;324;915;552;1947
Resin,_synthetic_rubber,_and_artificial_synthetic_fibers_and_filaments;2032;;231;333;;1342
Pesticide,_fertilizer,_and_other_agricultural_chemicals;1344;12;52;218;0;1062
Pharmaceuticals_and_medicines;138339;122;1399;8392;6697;121730
Soap,_cleaning_compound,_and_toilet_preparations;3803;;200;181;;3270
Paint,_coating,_adhesive,_and_other_chemicals;1456;;264;208;;834
Plastics_and_rubber_products;4151;155;670;760;855;1711
Nonmetallic_mineral_products;1623;74;142;187;77;1144
Primary_metals;1139;70;207;324;128;410
Fabricated_metal_products;3757;454;1384;733;650;536
Machinery;25378;434;2192;2366;1691;18695
Agricultural_implement;3277;;137;207;;2840
Semiconductor_machinery;7074;6;42;169;91;6766
Engine,_turbine,_and_power_transmission_equipment;4097;15;146;146;130;3661
Other_machinery;10930;;1867;1844;;5428
Computer_and_electronic_products;140254;476;1931;4777;3288;129782
Communications_equipment;15174;67;284;532;901;13391
Semiconductor_and_other_electronic_components;71114;84;443;2586;1054;66946
Navigational,_measuring,_electromedical,_and_control_instruments;15445;222;896;1353;953;12021
Electromedical,_electrotherapeutic,_and_irradiation_apparatus;5007;17;321;464;431;3774
Search,_detection,_navigation,_guidance,_aeronautical,_and_nautical_system_and_instruments;4473;19;109;257;191;3897
Other_measuring_and_controlling_devices;5965;187;466;632;331;4350
Other_computer_and_electronic_products;38521;103;308;305;380;37425
Electrical_equipment,_appliances,_and_components;8661;57;901;1223;1250;5230
Transportation_equipment;79294;190;1192;2056;2025;73831
Motor_vehicles,_bodies,_trailers,_and_parts;38916;88;582;1245;1195;35806
Aerospace_products_and_parts;37175;47;327;652;571;35577
Aircraft,_aircraft_engine,_and_aircraft_parts;25224;40;290;571;269;24055
Guided_missile,_space_vehicle,_and_related_parts;11951;8;37;81;303;11522
Military_armored_vehicle,_tank,_and_tank_components;31;;18;;0;0
Other_transportation;3172;;264;;259;2448
Furniture_and_related_products;445;39;119;75;212;0
Miscellaneous;28014;256;;2167;1926;
Medical_equipment_and_supplies;24628;132;1072;1500;1777;20147
Other_miscellaneous_manufacturing;3385;124;;668;148;
Nonmanufacturing_industries;384253;2920;20419;27822;13017;320074
Mining,_quarrying,_oil_and_gas_extraction,_and_support_activities;1008;;336;371;;
Utilities;;2;57;;;
Wholesale_trade;1861;353;1332;177;0;0
Electronic_shopping_and_electronic_auctions;;11;93;;;
Transportation_and_warehousing;9516;8;70;398;0;9039
Information;219288;443;5948;12061;6441;194395
Publishing;62697;215;2413;3232;1824;55011
Newspaper,_periodical,_book,_and_directory_publishers;72;11;6;55;0;0
Software_publishers;62625;205;2407;3177;1824;55011
Telecommunications;3891;71;172;656;188;2803
Data_processing,_hosting,_and_related_services;61649;108;2971;7479;3797;47294
Other_information;91051;48;392;695;630;89286
Finance_and_insurance;19834;7;1777;1141;792;16116
Real_estate_and_rental_and_leasing;2500;;37;;0;2218
Lessors_of_nonfinancial_intangible_assets_except_copyrighted_works;5;3;3;0;0;0
Other_real_estate_and_rental_and_leasing;2494;;34;;0;2218
Professional,_scientific,_and_technical_services;93801;1616;9594;11502;4325;66763
Architectural,_engineering,_and_related_services;3919;312;1738;1669;200;0
Computer_systems_design_and_related_services;27108;733;3398;4148;1493;17337
Scientific_research_and_development_services;53196;137;3437;3908;1930;43784
Research_and_development_in_nanotechnology;311;13;187;43;68;0
Research_and_development_in_biotechnology_except_nanobiotechnology;14299;33;844;877;682;11864
Research_and_development_in_the_physical,_engineering,_and_life_sciences_except_nanotechnology_and_biotechnology;37886;91;2381;2915;1180;31318
Research_and_development_in_the_social_sciences_and_humanities;700;1;24;73;0;602
Other_professional,_scientific,_and_technical_services;9577;435;1020;1777;703;5642
Health_care_services;2948;56;286;575;585;1445
Other_nonmanufacturing;3539;;889;;;
