year;total_expenditure;federal_funding; university_funding;industry_funding;Business;All other sourcesb
1953;255;138;37;35;19;26
1954;290;160;42;38;22;28
1955;312;169;47;41;25;30
1956;372;213;53;43;29;34
1957;410;229;60;49;34;38
1958;456;254;68;53;39;42
1959;526;306;76;58;39;47
1960;646;405;85;64;40;52
1961;763;500;95;70;40;58
1962;904;613;106;79;40;66
1963;1081;760;118;89;41;73
1964;1275;917;132;103;40;83
1965;1474;1073;143;124;41;93
1966;1715;1261;156;148;42;108
1967;1921;1409;164;181;48;119
1968;2149;1572;172;218;55;132
1969;2225;1600;197;223;60;145
1970;2335;1647;219;243;61;165
1971;2500;1724;255;274;70;177
1972;2630;1795;270;305;74;187
1973;2884;1985;295;318;84;202
1974;3023;2032;307;370;96;218
1975;3409;2288;332;417;113;259
1976;3729;2512;364;446;123;285
1977;4067;2726;374;514;139;314
1978;4625;3059;414;623;170;359
1979;5366;3598;472;735;193;368
1980;6063;4098;491;835;236;403
1981;6847;4571;546;1004;291;435
1982;7324;4768;616;1111;337;491
1983;7882;4989;626;1302;389;576
1984;8620;5431;690;1411;475;613
1985;9687;6064;752;1617;560;694
1986;10928;6712;915;1869;700;732
1987;12153;7343;1023;2168;790;828
1988;13463;8193;1106;2356;872;935
1989;14979;8993;1224;2698;994;1071
1990;16290;9640;1324;3006;1127;1191
1991;17589;10238;1474;3367;1204;1307
1992;18821;11095;1491;3548;1279;1409
1993;19954;11960;1559;3589;1360;1486
1994;21035;12654;1555;3828;1423;1575
1995;22179;13337;1690;4048;1489;1614
1996;23055;13847;1812;4172;1606;1619
1997;24380;14321;1910;4699;1737;1712
1998;25867;15159;1945;5004;1889;1871
1999;27544;16112;2022;5382;2033;1995
2000;30084;17548;2200;5925;2156;2255
2001;32801;19227;2320;6614;2218;2422
2002;36383;21856;2504;7133;2191;2698
2003;41470;25307;2645;7663;2161;2856
2004;44839;28304;2879;7752;2129;2851
2005;47535;29957;2940;8265;2291;3092
2006;49645;30909;2966;9062;2401;3198
2007;51590;31241;3151;9718;2675;3521
2008;54114;32101;3438;10378;2869;3916
2009;57288;33443;3647;11148;3197;4294
2010;61287;37478;3887;11943;3202;4777
2011;65274;40768;3851;12580;3183;4892
2012;65873;40217;3744;13625;3279;5007
2013;67109;39510;3706;14938;3515;5440
2014;67313;38032;3916;15743;3734;5889
2015;68664;37911;3864;16608;4009;6273
2016;71880;38857;4053;17911;4220;6839
2017;75293;40319;4187;18886;4440;7462
2018;79176;41934;4326;20220;4726;7970
2019;83646;44539;4520;21114;5066;8407
2020;86444;46182;4604;22023;5190;8446
2021;89840;49193;4752;22479;5123;8293
2022;97835;54056;4918;24537;5707;8617
2023;108841;59679;5447;27702;6230;9782
